,catalogNumber,LM1x,LM2x,LM3x,LM4x,LM5x,LM6x,LM7x,LM8x,LM9x,LM1y,LM2y,LM3y,LM4y,LM5y,LM6y,LM7y,LM8y,LM9y,Species,Genus,Subfamily,Family,Sex,Collection
1,EMEC_1773529_L,0.411108425,0.31927327,0.060569112,-0.074080394,-0.365451627,-0.487873777,-0.029638301,0.046186943,0.119906348,0.159088252,0.242562504,0.188387533,0.192273151,-0.014346275,-0.020794543,-0.141724621,-0.283706961,-0.321739041,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
2,EMEC_1773529_R,0.409733195,0.321628547,0.055188835,-0.074721039,-0.367273158,-0.484701808,-0.02932758,0.047580163,0.121892845,0.155987345,0.244173096,0.189317162,0.191807826,-0.011525618,-0.020831273,-0.14631633,-0.280864788,-0.321747421,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
3,EMEC_1773532_L,0.412560532,0.316853913,0.049378115,-0.082428174,-0.36868485,-0.491721447,-0.021649014,0.056922225,0.1287687,0.151157393,0.236802359,0.177630884,0.188548329,-0.007044288,-0.011544742,-0.137828956,-0.278930498,-0.318790481,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
4,EMEC_1773532_R,0.40931202,0.315983464,0.048010624,-0.084602203,-0.36213242,-0.492851993,-0.019477859,0.057562603,0.128195763,0.15288132,0.239245289,0.17745363,0.188037442,-0.002338312,-0.010713788,-0.139812274,-0.282162247,-0.32259106,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
5,EMEC_1773557_L,0.408870153,0.317669401,0.047397027,-0.073382386,-0.368795934,-0.495587629,-0.027623907,0.05644751,0.135005766,0.150913071,0.234734002,0.179066288,0.195508798,-0.010384179,-0.008933016,-0.15337619,-0.278548452,-0.308980322,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
6,EMEC_1773557_R,0.410518763,0.317391913,0.045694547,-0.075295372,-0.367181175,-0.499813366,-0.028047718,0.056437157,0.14029525,0.144218768,0.235816983,0.177249969,0.192838003,-0.005403799,-0.011840316,-0.15076784,-0.274336279,-0.307775489,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
7,EMEC_1773582_L,0.40950115,0.319695744,0.038020723,-0.094410091,-0.356377252,-0.484525935,-0.023921141,0.056948063,0.135068741,0.149573809,0.241854865,0.180373825,0.186472304,0.002703406,-0.008200173,-0.146550569,-0.288406821,-0.317820646,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
8,EMEC_1773582_R,0.406736065,0.319619551,0.040115216,-0.092212717,-0.357951191,-0.483555892,-0.024760867,0.059584604,0.13242523,0.15417709,0.24013778,0.17878656,0.189464045,0.001910044,-0.007645495,-0.146787558,-0.288375782,-0.321666685,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
9,EMEC_1773606_L,0.414346152,0.320889775,0.046860097,-0.093045871,-0.371817032,-0.495382722,-0.019670601,0.058392943,0.139427258,0.141292214,0.235335977,0.1701491,0.182826389,-0.005283735,-0.004770952,-0.14055082,-0.268209105,-0.310789068,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
10,EMEC_1773606_R,0.414355187,0.316385949,0.047213042,-0.087856001,-0.375395052,-0.490448523,-0.020866271,0.060955896,0.135655773,0.148592322,0.232017908,0.170454854,0.189256985,-0.007774741,-0.00291238,-0.144870659,-0.272648312,-0.312115977,Andrena prunorum,Andrena,Andreninae,Andrenidae,Female,UCSB
