Id,Genus,CV1,CV2
UCSB_IZC00008208_L,Agapostemon,-13.96515617,-0.941426463
UCSB_IZC00036466_L,Agapostemon,-11.11146649,-1.077778333
UCSB_IZC00036601_L,Agapostemon,-13.55580836,1.404939563
UCSB_IZC00037252_L,Agapostemon,-12.49580827,-1.400093112
UCSB_IZC00040751_L,Agapostemon,-13.3524894,-0.229519745
UCSB_IZC00034409_L,Andrena,-10.51798077,7.499185335
UCSB_IZC00043585_L,Andrena,-7.233311778,6.838229238
UCSB_IZC00043591_L,Andrena,-7.773428107,4.944072885
UCSB_IZC00043598_L,Andrena,-6.997744353,5.689323371
UCSB_IZC00010322_L,Anthophora,5.080119104,-9.48958502
UCSB_IZC00010379_L,Anthophora,1.895426708,-5.780742675
UCSB_IZC00037376_L,Anthophora,4.853671622,-9.17154674
UCSB_IZC00010881_L,Apis,5.464714326,16.2402383
UCSB_IZC00033241_L,Apis,7.441537008,13.4110064
UCSB_IZC00036441_L,Apis,9.86480426,13.50147239
UCSB_IZC00044306_L,Apis,6.956184561,15.09345862
UCSB_IZC00010460_L,Bombus,-7.143042838,-9.076204413
UCSB_IZC00028371_L,Bombus,-1.695349415,-11.58154256
UCSB_IZC00035618_L,Bombus,-10.20199464,-6.309657752
UCSB_IZC00041667_L,Bombus,0.820784497,-12.91436082
UCSB_IZC00042970_L,Bombus,-0.888539209,-11.10114336
UCSB_IZC00055289_L,Calliopsis,-2.184661071,1.583771029
UCSB_IZC00055354_R,Calliopsis,-1.600590103,1.904683575
UCSB_IZC00055752_L,Calliopsis,-2.518469047,2.209849636
UCSB_IZC00058762_R,Calliopsis,-1.368351952,2.393632999
UCSB_IZC00058791_L,Calliopsis,-2.111889154,3.823085404
UCSB_IZC00062637_L,Calliopsis,-2.193142838,1.790897729
UCSB_IZC00055264_L,Ceratina,-5.791825123,-1.937930323
UCSB_IZC00058691_R,Ceratina,-6.246488902,-1.85047382
UCSB_IZC00058709_L,Ceratina,-9.198710942,-2.706077576
UCSB_IZC00058718_R,Ceratina,-8.195846032,-0.967220957
UCSB_IZC00058722_L,Ceratina,-4.425018052,-1.461981199
UCSB_IZC00058764_L,Ceratina,-4.445912212,-1.312936965
UCSB_IZC00058790_L,Ceratina,-7.894046383,-0.663320906
UCSB_IZC00062589_R,Ceratina,-4.767137975,-2.171748901
UCSB_IZC00062594_L,Ceratina,-7.947039659,-2.173160479
UCSB_IZC00065370_R,Ceratina,-9.011943291,-2.950920276
UCSB_IZC00065404_R,Ceratina,-6.523426912,-3.097132447
UCSB_IZC00030264_L,Diadasia,-8.204640854,-8.284746067
UCSB_IZC00031299_L,Diadasia,-7.456138829,-7.321372574
UCSB_IZC00037171_L,Diadasia,-11.91672252,-4.431611892
UCSB_IZC00037255_L,Diadasia,-8.578838689,-6.163149659
UCSB_IZC00037347_L,Diadasia,-11.61265474,-6.601530378
UCSB_IZC00009829_L,Eucera,-6.460686446,-1.954754028
UCSB_IZC00030337_L,Eucera,-5.366739824,-2.465861991
UCSB_IZC00043471_L,Eucera,-5.207628659,-3.356406953
UCSB_IZC00043584_L,Eucera,-7.27289826,-3.308397097
UCSB_IZC00047217_L,Eucera,-6.287302292,-3.127374114
UCSB_IZC00009790_L,Habropoda,-6.676223345,-9.542858267
UCSB_IZC00010287_L,Habropoda,-6.930494331,-11.80833582
UCSB_IZC00033743_L,Habropoda,-5.576632157,-11.62941871
UCSB_IZC00041391_L,Habropoda,-7.056756894,-10.67424609
UCSB_IZC00047053_L,Habropoda,-5.495930543,-12.1813398
