catalogNumber,ITD (cm)
UCSB_IZC00008208_L,0.21
UCSB_IZC00036466_L,0.18
UCSB_IZC00036601_L,0.223
UCSB_IZC00037252_L,0.197
UCSB_IZC00040751_L,0.214
UCSB_IZC00044417_L,0.155
UCSB_IZC00044742_L,0.173
UCSB_IZC00047089_L,0.171
UCSB_IZC00034409_L,0.28
UCSB_IZC00043585_L,0.255
UCSB_IZC00043591_L,0.249
UCSB_IZC00043598_L,0.237
UCSB_IZC00043095_L,0.324
UCSB_IZC00010322_L,0.351
UCSB_IZC00010379_L,0.388
UCSB_IZC00037376_L,0.327
UCSB_IZC00002908_L,0.247
UCSB_IZC00036441_L,0.284
UCSB_IZC00033241_L,0.303
UCSB_IZC00044306_L,0.297
UCSB_IZC00010881_L,0.286
UCSB_IZC00036441_L,0.297
UCSB_IZC00035618_L,0.483
UCSB_IZC00042970_L,0.341
UCSB_IZC00041667_L,0.309
UCSB_IZC00010460_L,0.406
UCSB_IZC00028371_L,0.337
UCSB_IZC00058762_R,0.116
UCSB_IZC00055289_L,0.117
UCSB_IZC00058791_L,0.131
UCSB_IZC00055354_R,0.134
UCSB_IZC00055752_L,0.139
UCSB_IZC00062637_L,0.153
UCSB_IZC00058743_L,0.155
UCSB_IZC00062589_R,0.087
UCSB_IZC00058764_L,0.104
UCSB_IZC00058722_L,0.107
UCSB_IZC00058691_R,0.114
UCSB_IZC00065404_R,0.117
UCSB_IZC00058718_R,0.118
UCSB_IZC00055264_L,0.12
UCSB_IZC00062594_L,0.121
UCSB_IZC00058790_L,0.122
UCSB_IZC00058709_L,0.127
UCSB_IZC00065370_R,0.128
UCSB_IZC00030264_L,0.304
UCSB_IZC00031299_L,0.295
UCSB_IZC00037171_L,0.36
UCSB_IZC00037255_L,0.314
UCSB_IZC00037347_L,0.338
UCSB_IZC00030337_L,0.262
UCSB_IZC00043584_L,0.288
UCSB_IZC00009829_L,0.28
UCSB_IZC00047217_L,0.279
UCSB_IZC00043471_L,0.271
UCSB_IZC00010287_L,0.388
UCSB_IZC00041391_L,0.388
UCSB_IZC00047053_L,0.376
UCSB_IZC00033743_L,0.381
UCSB_IZC00009790_L,0.417
UCSB_IZC00046903_L,0.243
UCSB_IZC00030348_L,0.228
UCSB_IZC00030122_L,0.222
UCSB_IZC00034799_R,0.229
UCSB_IZC00042935_L,0.238
LACM_ENT247827_R,0.167
LACM_ENT601903_L,0.163
LACM_ENT601925_L,0.167
LACM_ENT601968_L,0.153
LACM_ENT602211_L,0.167
UCSB_IZC00063954_L,0.1
UCSB_IZC00063917_L,0.101
UCSB_IZC00055286_L,0.107
UCSB_IZC00058777_L,0.107
UCSB_IZC00063940_L,0.108
UCSB_IZC00063955_L,0.108
UCSB_IZC00059172_L,0.112
UCSB_IZC00059219_L,0.113
UCSB_IZC00059189_L,0.115
UCSB_IZC00065443_L,0.117
UCSB_IZC00055265_L,0.268
UCSB_IZC00055304_L,0.27
UCSB_IZC00055314_R,0.277
UCSB_IZC00062640_L,0.296
UCSB_IZC00058706_L,0.299
UCSB_IZC00058737_R,0.305
UCSB_IZC00062595_R,0.31
UCSB_IZC00058740_L,0.316
UCSB_IZC00062639_L,0.325
UCSB_IZC00009970_L,0.208
UCSB_IZC00043741_L,0.25
UCSB_IZC00047359_L,0.22
UCSB_IZC00047335_L,0.226
UCSB_IZC00046991_L,0.249
UCSB_IZC00062613_R,0.111
UCSB_IZC00065365_L,0.124
UCSB_IZC00065388_L,0.125
UCSB_IZC00062603_L,0.128
UCSB_IZC00065441_L,0.13
UCSB_IZC00062635_L,0.131
UCSB_IZC00062586_R,0.134
UCSB_IZC00065364_L,0.134
UCSB_IZC00065437_L,0.139
UCSB_IZC00059207_R,0.14
UCSB_IZC00012219_L,0.52
UCSB_IZC00010266_L,0.531
UCSB_IZC00012225_L,0.519
UCSB_IZC00012228_L,0.534
UCSB_IZC00012232_L,0.517
