catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection,Notes,Locality,Collection Date
UCSB_IZC00041511_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00039879_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00042465_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00012454_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00041836_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00041462_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00036326_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00040844_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00041034_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00012323_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00036320_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00036078_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00043427_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00038830_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00036757_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00036766_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00037720_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00044054_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00008208_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00036466_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00036601_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00037252_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00040751_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00041517_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00041521_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB,,,
