Id	DryWeight_g_G	ITD_cm_G	ITD (cm) 4
UCSB_IZC00008208_L	NaN	NaN	0.21
UCSB_IZC00008208_R	NaN	NaN	NaN
UCSB_IZC00012323_L	NaN	NaN	NaN
UCSB_IZC00012323_R	NaN	NaN	NaN
UCSB_IZC00012454_L	NaN	NaN	NaN
UCSB_IZC00012454_R	NaN	NaN	NaN
UCSB_IZC00036078_L	NaN	NaN	NaN
UCSB_IZC00036078_R	NaN	NaN	NaN
UCSB_IZC00036320_L	NaN	NaN	NaN
UCSB_IZC00036320_R	NaN	NaN	NaN
UCSB_IZC00036326_L	NaN	NaN	NaN
UCSB_IZC00036326_R	NaN	NaN	NaN
UCSB_IZC00036466_L	NaN	NaN	0.18
UCSB_IZC00036466_R	NaN	NaN	NaN
UCSB_IZC00036601_L	NaN	NaN	0.223
UCSB_IZC00036601_R	NaN	NaN	NaN
UCSB_IZC00036757_L	NaN	NaN	NaN
UCSB_IZC00036757_R	NaN	NaN	NaN
UCSB_IZC00036766_L	NaN	NaN	NaN
UCSB_IZC00036766_R	NaN	NaN	NaN
UCSB_IZC00037252_L	NaN	NaN	0.197
UCSB_IZC00037252_R	NaN	NaN	NaN
UCSB_IZC00037720_L	NaN	NaN	NaN
UCSB_IZC00037720_R	NaN	NaN	NaN
UCSB_IZC00038830_L	NaN	NaN	NaN
UCSB_IZC00038830_R	NaN	NaN	NaN
UCSB_IZC00039879_L	NaN	NaN	NaN
UCSB_IZC00039879_R	NaN	NaN	NaN
UCSB_IZC00040751_L	NaN	NaN	0.214
UCSB_IZC00040751_R	NaN	NaN	NaN
UCSB_IZC00040844_L	NaN	NaN	NaN
UCSB_IZC00040844_R	NaN	NaN	NaN
UCSB_IZC00041034_L	NaN	NaN	NaN
UCSB_IZC00041034_R	NaN	NaN	NaN
UCSB_IZC00041462_L	NaN	NaN	NaN
UCSB_IZC00041462_R	NaN	NaN	NaN
UCSB_IZC00041511_L	NaN	NaN	NaN
UCSB_IZC00041511_R	NaN	NaN	NaN
UCSB_IZC00041517_L	NaN	NaN	NaN
UCSB_IZC00041517_R	NaN	NaN	NaN
UCSB_IZC00041521_L	NaN	NaN	NaN
UCSB_IZC00041521_R	NaN	NaN	NaN
UCSB_IZC00041836_L	NaN	NaN	NaN
UCSB_IZC00041836_R	NaN	NaN	NaN
UCSB_IZC00042265_L	NaN	NaN	NaN
UCSB_IZC00042265_R	NaN	NaN	NaN
UCSB_IZC00042308_L	NaN	NaN	NaN
UCSB_IZC00042308_R	NaN	NaN	NaN
UCSB_IZC00042456_L	NaN	NaN	NaN
UCSB_IZC00042456_R	NaN	NaN	NaN
UCSB_IZC00042465_L	NaN	NaN	NaN
UCSB_IZC00042465_R	NaN	NaN	NaN
UCSB_IZC00042678_L	NaN	NaN	NaN
UCSB_IZC00042678_R	NaN	NaN	NaN
UCSB_IZC00043427_L	NaN	NaN	NaN
UCSB_IZC00043427_R	NaN	NaN	NaN
UCSB_IZC00044054_L	NaN	NaN	NaN
UCSB_IZC00044054_R	NaN	NaN	NaN
UCSB_IZC00046949_L	NaN	NaN	NaN
UCSB_IZC00046949_R	NaN	NaN	NaN
UCSB_IZC00034409_L	NaN	NaN	0.28
UCSB_IZC00034409_R	NaN	NaN	NaN
UCSB_IZC00043585_L	NaN	NaN	NaN
UCSB_IZC00043585_R	NaN	NaN	NaN
UCSB_IZC00043591_L	NaN	NaN	NaN
UCSB_IZC00043591_R	NaN	NaN	NaN
UCSB_IZC00043598_L	NaN	NaN	NaN
UCSB_IZC00043598_R	NaN	NaN	NaN
UCSB_IZC00010322_L	NaN	NaN	0.351
UCSB_IZC00010322_R	NaN	NaN	NaN
UCSB_IZC00010379_L	NaN	NaN	0.388
UCSB_IZC00010379_R	NaN	NaN	NaN
UCSB_IZC00037376_L	NaN	NaN	0.327
UCSB_IZC00037376_R	NaN	NaN	NaN
UCSB_IZC00009007_L	NaN	NaN	NaN
UCSB_IZC00009007_R	NaN	NaN	NaN
UCSB_IZC00009049_L	NaN	NaN	NaN
UCSB_IZC00009049_R	NaN	NaN	NaN
UCSB_IZC00009052_L	NaN	NaN	NaN
UCSB_IZC00009052_R	NaN	NaN	NaN
UCSB_IZC00010360_L	NaN	NaN	NaN
UCSB_IZC00010360_R	NaN	NaN	NaN
UCSB_IZC00010381_L	NaN	NaN	NaN
UCSB_IZC00010381_R	NaN	NaN	NaN
UCSB_IZC00010413_L	NaN	NaN	NaN
UCSB_IZC00010413_R	NaN	NaN	NaN
UCSB_IZC00010479_L	NaN	NaN	NaN
UCSB_IZC00010479_R	NaN	NaN	NaN
UCSB_IZC00010507_L	NaN	NaN	NaN
UCSB_IZC00010507_R	NaN	NaN	NaN
UCSB_IZC00010508_L	NaN	NaN	NaN
UCSB_IZC00010508_R	NaN	NaN	NaN
UCSB_IZC00010536_L	NaN	NaN	NaN
UCSB_IZC00010536_R	NaN	NaN	NaN
UCSB_IZC00010537_L	NaN	NaN	NaN
UCSB_IZC00010537_R	NaN	NaN	NaN
UCSB_IZC00010554_L	NaN	NaN	NaN
UCSB_IZC00010554_R	NaN	NaN	NaN
UCSB_IZC00010556_L	NaN	NaN	NaN
UCSB_IZC00010556_R	NaN	NaN	NaN
UCSB_IZC00010847_L	NaN	NaN	NaN
UCSB_IZC00010847_R	NaN	NaN	NaN
UCSB_IZC00010881_L	NaN	NaN	0.286
UCSB_IZC00010881_R	NaN	NaN	NaN
UCSB_IZC00016671_L	NaN	NaN	NaN
UCSB_IZC00016671_R	NaN	NaN	NaN
UCSB_IZC00019263_L	NaN	NaN	NaN
UCSB_IZC00019263_R	NaN	NaN	NaN
UCSB_IZC00026242_L	NaN	NaN	NaN
UCSB_IZC00026242_R	NaN	NaN	NaN
UCSB_IZC00030944_L	NaN	NaN	NaN
UCSB_IZC00030944_R	NaN	NaN	NaN
UCSB_IZC00033241_L	NaN	NaN	0.303
UCSB_IZC00033241_R	NaN	NaN	NaN
UCSB_IZC00034449_L	NaN	NaN	NaN
UCSB_IZC00034449_R	NaN	NaN	NaN
UCSB_IZC00034914_L	NaN	NaN	NaN
UCSB_IZC00034914_R	NaN	NaN	NaN
UCSB_IZC00036056_L	NaN	NaN	NaN
UCSB_IZC00036056_R	NaN	NaN	NaN
UCSB_IZC00036167_L	NaN	NaN	NaN
UCSB_IZC00036167_R	NaN	NaN	NaN
UCSB_IZC00036441_L	NaN	NaN	0.284
UCSB_IZC00036441_R	NaN	NaN	NaN
UCSB_IZC00036553_L	NaN	NaN	NaN
UCSB_IZC00036553_R	NaN	NaN	NaN
UCSB_IZC00036565_L	NaN	NaN	NaN
UCSB_IZC00036565_R	NaN	NaN	NaN
UCSB_IZC00037222_L	NaN	NaN	NaN
UCSB_IZC00037222_R	NaN	NaN	NaN
UCSB_IZC00038548_L	NaN	NaN	NaN
UCSB_IZC00038548_R	NaN	NaN	NaN
UCSB_IZC00038673_L	NaN	NaN	NaN
UCSB_IZC00038673_R	NaN	NaN	NaN
UCSB_IZC00038889_L	NaN	NaN	NaN
UCSB_IZC00038889_R	NaN	NaN	NaN
UCSB_IZC00038891_L	NaN	NaN	NaN
UCSB_IZC00038891_R	NaN	NaN	NaN
UCSB_IZC00040410_L	NaN	NaN	NaN
UCSB_IZC00040410_R	NaN	NaN	NaN
UCSB_IZC00040910_L	NaN	NaN	NaN
UCSB_IZC00040910_R	NaN	NaN	NaN
UCSB_IZC00040988_L	NaN	NaN	NaN
UCSB_IZC00040988_R	NaN	NaN	NaN
UCSB_IZC00042293_L	NaN	NaN	NaN
