catalogNumber,DryWeight_g_G,ITD_cm_G
UCSB_IZC00055300_L,0.098,0.315
UCSB_IZC00065402_L,0.1,0.325
UCSB_IZC00055367_L,0.091,0.313
UCSB_IZC00055365_L,0.095,0.335
UCSB_IZC00065352_L,0.087,0.344
UCSB_IZC00065369_L,0.101,0.345
UCSB_IZC00055262_L,0.113,0.361
UCSB_IZC00055270_L,0.107,0.361
UCSB_IZC00061378_L,0.038,0.109
UCSB_IZC00056345_L,0.038,0.112
UCSB_IZC00054976_L,0.038,0.115
UCSB_IZC00058164_L,0.051,0.115
UCSB_IZC00058480_L,0.038,0.116
UCSB_IZC00058155_L,0.049,0.118
UCSB_IZC00058174_L,0.049,0.12
UCSB_IZC00058197_L,0.049,0.121
UCSB_IZC00056446_L,0.038,0.123
UCSB_IZC00058158_L,0.05,0.123
UCSB_IZC00058145_L,0.049,0.124
UCSB_IZC00058529_L,0.04,0.126
UCSB_IZC00055003_L,0.039,0.126
UCSB_IZC00058377_L,0.05,0.126
UCSB_IZC00058368_L,0.039,0.127
UCSB_IZC00058141_L,0.039,0.128
UCSB_IZC00058167_L,0.049,0.13
UCSB_IZC00058153_L,0.049,0.13
UCSB_IZC00058199_L,0.05,0.134
UCSB_IZC00058810_L,0.04,0.135
UCSB_IZC00058433_L,0.048,0.124
UCSB_IZC00058176_L,0.041,0.125
UCSB_IZC00058144_L,0.049,0.125
UCSB_IZC00058171_L,0.052,0.138
UCSB_IZC00055776_L,0.131,0.4
UCSB_IZC00065451_L,0.048,0.119
UCSB_IZC00055357_L,0.046,0.128
UCSB_IZC00055774_L,0.065,0.169
UCSB_IZC00055360_L,0.067,0.171
UCSB_IZC00055394_L,0.048,0.122
UCSB_IZC00055390_L,0.048,0.124
UCSB_IZC00055455_L,0.04,0.126
UCSB_IZC00055414_L,0.04,0.133
UCSB_IZC00055408_L,0.049,0.143
UCSB_IZC00055397_L,0.048,0.122
UCSB_IZC00058756_L,0.05,0.111
UCSB_IZC00065455_L,0.043,0.083
UCSB_IZC00055383_L,0.048,0.126
UCSB_IZC00055428_L,0.048,0.126
UCSB_IZC00058703_L,0.045,0.114
UCSB_IZC00055288_L,0.041,0.138
UCSB_IZC00062624_L,0.051,0.161
UCSB_IZC00065416_L,0.047,0.133
UCSB_IZC00055753_L,0.064,0.151
UCSB_IZC00065395_L,0.064,0.151
UCSB_IZC00055376_L,0.056,0.153
UCSB_IZC00065360_L,0.066,0.163
UCSB_IZC00055324_L,0.058,0.168
UCSB_IZC00055742_L,0.068,0.171
UCSB_IZC00055329_L,0.067,0.173
UCSB_IZC00065426_L,0.068,0.182
UCSB_IZC00055435_L,0.047,0.117
