	LM1x	LM2x	LM3x	LM4x	LM5x	LM6x	LM7x	LM8x	LM9x	LM1y	LM2y	LM3y	LM4y	LM5y	LM6y	LM7y	LM8y	LM9y
Agapostemon	0.402310659	0.299386204	-0.030152565	-0.114386095	-0.326453127	-0.489651604	0.010662119	0.088007839	0.160276571	0.112710205	0.245245143	0.179337927	0.207735619	0.036633922	0.006469699	-0.178891055	-0.294649009	-0.314592451
Andrena	0.417693157	0.325724502	0.037872283	-0.091411056	-0.338718076	-0.485564084	-0.029792669	0.044164172	0.120031772	0.164056431	0.248126246	0.174695436	0.188959516	-0.001816061	-0.023890269	-0.130764048	-0.286264908	-0.333102344
Anthophora	0.498078842	0.350512982	-0.099822468	-0.214759306	-0.409649385	-0.430116517	0.039719288	0.084147004	0.181889561	0.115833857	0.180995923	0.092310298	0.113245331	0.032942653	0.057242271	-0.077930761	-0.227922778	-0.286716795
Apis	0.478886645	0.297419622	0.010929395	-0.160382301	-0.357125308	-0.440504466	-0.04388021	0.054803874	0.15985275	0.196669567	0.193868224	0.140778648	0.148442838	0.037799735	0.022215171	-0.163055741	-0.260951438	-0.315767004
Bombus	0.453337735	0.383151817	-0.102975977	-0.209387114	-0.368159509	-0.435012403	0.021845563	0.085523924	0.171675963	0.119820872	0.216884951	0.099795106	0.126715288	0.033225399	0.055051647	-0.109513302	-0.236318899	-0.305661061
Calliopsis	0.398893069	0.272958789	0.02688055	-0.12493452	-0.352179993	-0.466420801	0.002797311	0.086831943	0.155173651	0.143005938	0.229197897	0.191740284	0.208035721	0.027967511	0.009924814	-0.157659796	-0.307502608	-0.344709762
Ceratina	0.395107313	0.289175841	-0.004180064	-0.121684181	-0.336150982	-0.495624293	0.026960021	0.096199152	0.150197194	0.138488749	0.2156378	0.184182619	0.209328074	0.034722012	0.014159174	-0.181537483	-0.288212197	-0.326768749
Diadasia	0.446087706	0.325137248	-0.071063306	-0.186118953	-0.345299738	-0.473428787	0.038901321	0.0983644	0.167420109	0.120058335	0.211777417	0.117863832	0.145401006	0.046107023	0.046498033	-0.097253369	-0.279888165	-0.310564111
Eucera	0.448905417	0.273230175	-0.027830031	-0.16700083	-0.36602491	-0.448193441	0.038995453	0.085798379	0.162119786	0.145533519	0.210535263	0.141509399	0.164494848	0.021368018	0.05503061	-0.094782544	-0.288180512	-0.3555086
Habropoda	0.453132928	0.385134664	-0.066330727	-0.204793587	-0.405713119	-0.441410943	0.041784287	0.075248383	0.162948114	0.097131164	0.228032109	0.100987413	0.118133597	0.021945407	0.043605075	-0.089170373	-0.237621057	-0.283043333
Halictus	0.392255868	0.31089141	-0.015367413	-0.10990708	-0.341685998	-0.49533541	0.01615653	0.081061246	0.161930847	0.100700115	0.25379462	0.176454131	0.205935052	0.024824026	0.004457649	-0.16796559	-0.284542562	-0.313657442
Hesperapis	0.406429303	0.239648877	0.034316875	-0.103734745	-0.369472829	-0.541056103	0.02053353	0.124901243	0.188433848	0.099327016	0.187194175	0.179361305	0.210933154	0.032938336	0.010066353	-0.129388992	-0.266884657	-0.32354669
Lasioglossum	0.406133911	0.266892927	-0.026717588	-0.109948874	-0.325540577	-0.515497147	0.041677573	0.096649866	0.166349909	0.122068353	0.205891617	0.187769179	0.221542465	0.02957406	0.020847844	-0.184305469	-0.281994423	-0.321393628
Megachile	0.450263978	0.322547836	-0.002764992	-0.145721563	-0.377141453	-0.430639887	-0.000993481	0.062472232	0.121977331	0.178258663	0.223216939	0.146029395	0.161277039	0.006632439	0.028733447	-0.13674243	-0.296347221	-0.311058271
Osmia	0.43431806	0.298325671	-0.010153704	-0.192764024	-0.391716746	-0.449906677	0.024957628	0.110181359	0.176758434	0.123106319	0.197253871	0.150430408	0.150379798	0.026755699	0.059176144	-0.112033641	-0.281401708	-0.31366689
Panurginus	0.408403708	0.307196861	0.046961288	-0.07638736	-0.349514587	-0.518830507	-0.022506794	0.071420136	0.133257254	0.145589821	0.221263067	0.191538235	0.201149571	-0.000501073	-0.022952543	-0.149730169	-0.274059156	-0.312297754
Xylocopa	0.472617276	0.307269027	-0.103029518	-0.181619897	-0.346396025	-0.411692707	-0.035021092	0.086294279	0.211578656	0.148342877	0.203698399	0.128620218	0.154602705	0.053086241	0.064959477	-0.172405924	-0.26995	-0.310953993
