"","catalogNumber","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y","Species","Genus","Subfamily","Family","Sex","Collection"
"1","LACM_ENT247827_L",0.413937942867766,0.237782021623342,0.0341163210630038,-0.105065572734466,-0.365222621412521,-0.540913658498009,0.0151373060203943,0.123105199505999,0.187123061564489,0.0958960961150376,0.189288239709838,0.180290401501778,0.212810141174105,0.0325392121070626,0.0043734689310963,-0.12723094788237,-0.27034422237225,-0.3176223892843,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"2","LACM_ENT247827_R",0.419589123399749,0.234616245253546,0.0346428652498648,-0.104565889929111,-0.368769430108686,-0.540654347156845,0.0137436822897853,0.12213460097829,0.189263150023404,0.0920920928150641,0.188608596177337,0.180222569347684,0.211943368668623,0.0287466445014863,0.00479947058326904,-0.121979964697031,-0.270320501136225,-0.314112276260206,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"3","LACM_ENT601903_R",0.412819809408442,0.229275724728901,0.0276287094205443,-0.10093264122624,-0.372252847287505,-0.536603596498017,0.0165766653660097,0.129854828800146,0.19363334728772,0.0894874276622966,0.189503752883067,0.18327027952821,0.216265026534807,0.0330482585379785,0.00982576034343439,-0.13326453241494,-0.266520726841402,-0.32161524623345,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"4","LACM_ENT601925_L",0.420377006203715,0.22697345981411,0.0277339538944649,-0.0971495719809403,-0.371641029510967,-0.541249401691343,0.0175439682168963,0.123763783736515,0.193647831317555,0.0908614900889722,0.18839030959978,0.177346180353184,0.215007907567132,0.0329909686897183,0.00672779214020235,-0.129097563107653,-0.261238747536428,-0.320988337794909,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"5","LACM_ENT601925_R",0.409769941284031,0.239219598995286,0.0320152220337397,-0.100698232058399,-0.367086942226789,-0.544588978802984,0.0190925388860139,0.122865190672282,0.189411661216818,0.105855971447858,0.182481526022698,0.173465185266343,0.209894163907443,0.0345513414081825,0.0101919135973921,-0.128991172097696,-0.259352782505303,-0.328096147046917,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"6","LACM_ENT601968_L",0.397745516628277,0.251745749856205,0.0302139803641116,-0.105115349807535,-0.381351053939051,-0.547862267597686,0.0316648590261067,0.134400467606847,0.188558097862727,0.0938329649544588,0.179543778682921,0.176214143604007,0.205766919285162,0.0367144735594213,0.0129444628767205,-0.13332526181567,-0.256644004716382,-0.31504747643064,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"7","LACM_ENT601968_R",0.411292033184289,0.245414079871071,0.0364475763828144,-0.1103298901628,-0.376370461749619,-0.543672650463882,0.0280304148133766,0.125348505389794,0.183840392734953,0.0935993310550358,0.182943162559247,0.178110500281787,0.209985445497946,0.0289073682838978,0.00808418985659805,-0.131612402343186,-0.255092814207699,-0.31492478098363,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"8","LACM_ENT602211_R",0.404988071589401,0.248955125285467,0.0296610188159569,-0.1106106126111,-0.365781913698828,-0.5385556899041,0.0219608807919007,0.125483749278167,0.183899370453137,0.102130922099283,0.191118539570428,0.172489541773009,0.207129599776177,0.0317076764605618,0.0157551624641827,-0.131047202330189,-0.265822166800918,-0.323462073012537,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"9","LACM_ENT602232_L",0.401242946788876,0.23269984531426,0.0442011894946912,-0.098851179024393,-0.374218465626666,-0.532812638923022,0.0210058788408149,0.120115070721368,0.186617352414068,0.107572519866941,0.19053150827746,0.181519181908378,0.21613493030275,0.0299481770765111,0.0113520526197407,-0.127530228516854,-0.276212224679391,-0.333315916855539,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
"10","LACM_ENT602232_R",0.397593445450881,0.235585932182125,0.0395136196206114,-0.0863818218813864,-0.37157604772256,-0.540178499886135,0.0193134727121292,0.120095101443113,0.186034798081219,0.111259388309205,0.187032754314936,0.185900943647121,0.215670781358341,0.0287381816555992,0.00980822943511296,-0.131087912717257,-0.273940205849877,-0.33338216015318,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM"
