"","catalogNumber","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y","Species","Genus","Subfamily","Family","Sex","Collection","ITD"
"1","UCSB_IZC00008208_L",0.400880816631676,0.312927682095071,-0.0189457996318196,-0.122548721227719,-0.329090923204969,-0.487757085614246,0.0141277070176661,0.0826093563482452,0.147796967586094,0.11492958418538,0.247713802186641,0.173331686061237,0.210276711556451,0.0372352921399632,-0.00123321078932289,-0.18067486278588,-0.294481283469112,-0.307097719085359,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.21
"2","UCSB_IZC00036466_L",0.400094114109723,0.294454624735024,-0.0342731011412048,-0.10775372917131,-0.328773934935353,-0.481309038757711,0.00614089732975994,0.0875939929776825,0.163826174853388,0.123935330135465,0.242039860469332,0.180820197205426,0.207887540298278,0.0327936627791932,0.0206756504446926,-0.188160955203813,-0.297961796257704,-0.322029489870873,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.18
"3","UCSB_IZC00036601_L",0.401589026513879,0.304600762376512,-0.0376819683186325,-0.117576542749669,-0.317786567902991,-0.478383899837751,0.00279530602475405,0.0864195727607865,0.15602431113311,0.116157520976424,0.246520141250153,0.187793460515128,0.214861269564637,0.0408705390909363,-0.00123317773480425,-0.184047827055868,-0.30182559967765,-0.319096326928959,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.223
"4","UCSB_IZC00037252_L",0.401103744847003,0.306148470792851,-0.029450188255901,-0.115825848896644,-0.327204397574873,-0.489722643091354,0.0112897353308724,0.0861347994875224,0.157526327360522,0.113282867556251,0.249663845366747,0.174446476768478,0.200546673940567,0.0383098752008081,0.010746108391319,-0.181656725640857,-0.290972057269393,-0.314367064313922,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.197
"5","UCSB_IZC00040751_L",0.403285339560873,0.294655804020322,-0.0331095595999071,-0.12239921030522,-0.326935592262489,-0.482426073388673,0.0124026024069942,0.0905640607870974,0.163962628781002,0.112493343459173,0.24253781422948,0.18067741764611,0.2072496348659,0.0390446907223644,0.0138978147404988,-0.178146303865984,-0.299067582261505,-0.318686829536037,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.214
"6","UCSB_IZC00041034_L",0.406256737163548,0.293100374358005,-0.0238524805802826,-0.107338113818086,-0.329964704431603,-0.485100216130774,0.00350195997962418,0.0817345951651115,0.161661848294458,0.115650870534472,0.245342646105363,0.185018742194999,0.210194178476751,0.0304142636659548,0.00884566428496256,-0.183921177494566,-0.299257525967609,-0.312287661800326,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"7","UCSB_IZC00042465_L",0.395121981601048,0.293175658969073,-0.0406075429293453,-0.121587911851065,-0.322287337921901,-0.481779995551926,0.0127362475622112,0.0947236963636819,0.170505203758222,0.10519984945693,0.248617649165242,0.184394170773593,0.209568611370727,0.048907593703918,0.012197585314092,-0.183099212557237,-0.303611165145215,-0.322175082082049,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"8","UCSB_IZC00041511_L",0.410263850204419,0.2933742456389,-0.0351822080438227,-0.108359511006144,-0.32397821815006,-0.48061820055424,0.00326046957623458,0.0841596067449005,0.157079965589811,0.11806834032099,0.243037989407859,0.185935881656363,0.215721069565509,0.0316897294569711,0.0043714242113893,-0.180914529928911,-0.299070002721181,-0.318839901968989,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"9","UCSB_IZC00038830_R",0.398222339926497,0.302262745921833,-0.0243962436035956,-0.105797666049614,-0.320225113871444,-0.4821973779388,-0.00167413453993308,0.0811605063395538,0.152644943815504,0.127183636954406,0.253201422367809,0.181431928389151,0.209918153217409,0.0332883253952603,0.00907234117455761,-0.191432980219554,-0.303624765847857,-0.319038061431183,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"10","UCSB_IZC00038830_L",0.402961488796892,0.295806928001777,-0.0311233209522256,-0.108636153943953,-0.322703485894562,-0.478589982992185,0.000767714563617384,0.0832133296510934,0.158303482769544,0.120667433155917,0.25318282371122,0.181289044489022,0.210164864991501,0.034174444951261,0.0123239775814729,-0.189007218986348,-0.302998557899415,-0.319796811994633,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
