<<<<<<< HEAD:R/data/subset_data.csv
"","catalogNumber","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y","Species","Genus","Subfamily","Family","Sex","Collection"
"1","UCSB_IZC00040844_R",0.396501382699269,0.309527186565483,-0.0248234067153441,-0.107433577453856,-0.336498394777041,-0.495237500720869,0.0143886998885446,0.0851492591898707,0.158426351323946,0.113743128079394,0.237183034504869,0.180620791672054,0.208215135343707,0.0305145899224975,0.0046992598392151,-0.174916871380918,-0.289571281241221,-0.310487786739596,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"2","UCSB_IZC00036078_L",0.403196727924427,0.297492719330088,-0.0293341566314536,-0.107723135059187,-0.334366627239773,-0.50348920411822,0.0228663360368416,0.0911580939366836,0.160199245820592,0.10441774136025,0.234349824086931,0.181477849298159,0.209489981797189,0.0299383265955633,0.00744732932038128,-0.170533774893747,-0.28740989619337,-0.309177381371359,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"3","UCSB_IZC00042678_R",0.402887304330233,0.2957831283564,-0.027418860920181,-0.119703538487804,-0.330988919331886,-0.490702237981607,0.0150678455841421,0.0905744228491557,0.164500855601546,0.110442122497182,0.236885860591455,0.178250421782628,0.210946401902434,0.0401807488709332,0.00842443115806538,-0.181085610588807,-0.291119893837665,-0.312924482376227,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"4","UCSB_IZC00041511_R",0.404616562328214,0.290076231222766,-0.030634293631511,-0.109352717227402,-0.327763650317638,-0.471417151061608,-0.00200457699876606,0.0875723679994342,0.158907227686512,0.119513336551602,0.247587696145017,0.189588308204261,0.216338969752761,0.0306346810912093,0.00922823898687757,-0.1826345588786,-0.304324520872991,-0.325932150980135,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"5","UCSB_IZC00036757_L",0.406780931178033,0.305135433032197,-0.0395274893149191,-0.11729399185311,-0.324758463531998,-0.49184673701043,0.0152232672189772,0.0870789467686224,0.159208103512627,0.109112914056026,0.246867251745564,0.172404090656839,0.20021988904406,0.0426821474038692,0.00878102446951779,-0.178574851409334,-0.293077538958011,-0.308414927008531,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"6","UCSB_IZC00042465_L",0.395121981601048,0.293175658969073,-0.0406075429293453,-0.121587911851065,-0.322287337921901,-0.481779995551926,0.0127362475622112,0.0947236963636819,0.170505203758222,0.10519984945693,0.248617649165242,0.184394170773593,0.209568611370727,0.048907593703918,0.012197585314092,-0.183099212557237,-0.303611165145215,-0.322175082082049,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"7","UCSB_IZC00041462_R",0.404678861855477,0.301590854233616,-0.0393173601390615,-0.111893471063324,-0.33307463703779,-0.488590812802629,0.00977720584301659,0.0927706410817516,0.164058718028945,0.10929721060207,0.242557178054511,0.174552452465531,0.202535234372576,0.036749598105651,0.0144157061800068,-0.176493323498509,-0.292425135333501,-0.311188920948335,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"8","UCSB_IZC00041462_L",0.407276303400948,0.299294062357692,-0.0398627548556938,-0.117758076492177,-0.325726859834777,-0.493951968699729,0.0119223390301338,0.0938374566551423,0.16496949843846,0.10797306180664,0.237242518191335,0.17554106314874,0.203715591544161,0.0429129870853676,0.00767058122767168,-0.170405788797779,-0.289935388973974,-0.314714625232164,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"9","UCSB_IZC00037720_R",0.403217424628438,0.300560936422133,-0.0304459889289223,-0.116491726380251,-0.321523432158582,-0.49851818114124,0.0130377602484489,0.0875488366793038,0.162614370630673,0.111049306918819,0.23931065666963,0.177463904621594,0.207084452745953,0.0403304986114577,0.00604284059345103,-0.177234905646222,-0.293963103464333,-0.310083651050348,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"10","UCSB_IZC00040751_R",0.399944213244515,0.292458814477318,-0.0271638550805937,-0.12214584013914,-0.329068298632528,-0.485985365496696,0.011238715544515,0.0926009550626882,0.16812066101992,0.1059238629786,0.244069885598446,0.183823724163771,0.207895868337191,0.0413000624066715,0.0118510482301887,-0.181441060922514,-0.297565755118482,-0.315857635673873,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB"
"11","EMEC_1773532_R",0.409312020270796,0.315983463585965,0.0480106244499181,-0.0846022029493001,-0.362132419637359,-0.492851992760666,-0.019477859230563,0.0575626029446736,0.128195763326537,0.152881319568523,0.23924528907383,0.177453629828294,0.188037442480206,-0.00233831248398252,-0.0107137876286505,-0.139812273572576,-0.282162247290575,-0.322591059975066,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"12","EMEC_1773557_L",0.408870153182653,0.317669400814407,0.0473970268488668,-0.0733823862561775,-0.368795934406613,-0.495587628915584,-0.0276239074371546,0.0564475098562457,0.135005766313358,0.1509130706764,0.234734002310005,0.179066288463486,0.195508797682686,-0.0103841793108129,-0.00893301599040378,-0.153376189516808,-0.278548452101927,-0.308980322212623,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"13","EMEC_1773582_R",0.406736064918847,0.319619550845645,0.0401152163721809,-0.0922127174198941,-0.357951190863123,-0.483555891637067,-0.0247608670121112,0.0595846043716022,0.13242523042392,0.154177090303459,0.240137780018872,0.178786559628315,0.189464045184666,0.00191004433119966,-0.00764549473958847,-0.146787558477248,-0.288375781610999,-0.321666684638676,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"14","EMEC_1773606_L",0.414346152289992,0.320889774543812,0.0468600973904855,-0.093045871146244,-0.371817031723488,-0.495382721800944,-0.0196706006710468,0.0583929431123153,0.139427258005117,0.141292213567677,0.235335977200792,0.170149100038448,0.182826388856339,-0.00528373458624044,-0.00477095185535529,-0.140550820112742,-0.268209104884834,-0.310789068224084,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"15","EMEC_1773557_R",0.410518763367918,0.317391913318165,0.0456945469787261,-0.0752953724791457,-0.367181174847948,-0.499813366122979,-0.0280477181234786,0.0564371574277872,0.140295250480958,0.144218768104893,0.235816983197841,0.177249969480475,0.192838002712786,-0.0054037986153065,-0.0118403156720275,-0.150767840485654,-0.274336279469967,-0.307775489253039,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"16","EMEC_1773606_R",0.41435518667287,0.316385949380233,0.0472130419949544,-0.0878560010669436,-0.37539505190217,-0.490448523115939,-0.0208662707414148,0.0609558962140555,0.135655772564353,0.148592322479404,0.232017908019808,0.170454854208871,0.189256984920118,-0.00777474106257812,-0.00291238036984137,-0.144870659319657,-0.272648311669094,-0.312115977207033,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"17","EMEC_1773532_L",0.412560532097747,0.316853913426803,0.0493781145774223,-0.0824281738465288,-0.368684850365418,-0.491721446706319,-0.0216490140537529,0.0569222250561731,0.128768699813873,0.151157393114173,0.236802359044538,0.177630884194408,0.188548328621398,-0.00704428803956772,-0.0115447417604126,-0.137828956472068,-0.278930497813539,-0.318790480888931,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"18","EMEC_1773529_L",0.411108424915403,0.319273269689779,0.060569112464167,-0.0740803936095356,-0.365451626671079,-0.487873777172632,-0.0296383009957832,0.0461869433440429,0.119906348035637,0.159088251892886,0.242562504090366,0.188387533195749,0.192273151284991,-0.0143462752359142,-0.0207945428009251,-0.141724620743898,-0.283706961025191,-0.321739040658067,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"19","EMEC_1773529_R",0.409733194985083,0.321628547142058,0.0551888351760799,-0.074721038566776,-0.367273158359319,-0.484701807654448,-0.0293275802571934,0.047580162999131,0.121892844535387,0.155987345405687,0.24417309611938,0.189317162339082,0.1918078263591,-0.0115256176301356,-0.0208312732555346,-0.146316330028105,-0.28086478829772,-0.321747421011751,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"20","EMEC_1773582_L",0.40950114957291,0.319695744205452,0.0380207225208218,-0.0944100913754608,-0.356377251965722,-0.484525935491851,-0.0239211411171038,0.0569480625465938,0.135068741104359,0.149573808842607,0.241854865124084,0.18037382481249,0.186472303755694,0.00270340619062283,-0.00820017344013079,-0.146550568790485,-0.288406820523779,-0.317820645971103,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB"
"21","UCSB_IZC00037376_R",0.495084069445273,0.344994607520043,-0.0957443143186275,-0.202552257776917,-0.406644130607651,-0.440210817686887,0.0421028302679388,0.0827472653073543,0.180222747849472,0.114905602531012,0.181277101633002,0.0979478090634549,0.111567834047211,0.0344732282083319,0.0541891757692801,-0.0746036635458507,-0.229915860995373,-0.28984122671107,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","UCSB"
"22","SBMNH_ENT0116672_R",0.498892873930739,0.360707695387673,-0.103000539642509,-0.203062206491908,-0.413048281740923,-0.454066368361525,0.0472156797240183,0.0876353244196789,0.178725822774756,0.107475763067231,0.174055663954322,0.0832575080268751,0.104719863938719,0.0340829904418986,0.0522069857585731,-0.0644158837478051,-0.2161879207722,-0.275194970667613,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH"
"23","SBMNH_ENT0116669_L",0.502539036069894,0.372380080325632,-0.105129735187118,-0.214923569926426,-0.402448805216943,-0.426646369309782,0.0336359630223968,0.0767180034247323,0.163875396797616,0.114460461331795,0.199505971507558,0.0842474688388016,0.102494219841495,0.0346124139871203,0.0467868824368927,-0.073540034506726,-0.223795639271191,-0.284771744165747,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH"
"24","UCSB_IZC00010379_R",0.500425410559731,0.345103885558715,-0.102047301427885,-0.213368977887768,-0.403963211351677,-0.434572947452953,0.0381004006202214,0.0849774928230725,0.185345248558543,0.114705228107209,0.180108263992666,0.0929164714405416,0.109315213612524,0.0406477932063254,0.0589689336255959,-0.0836084476278483,-0.229114377202356,-0.28393907915466,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","UCSB"
"25","UCSB_IZC00010322_R",0.500549019928807,0.357650928941641,-0.105290606407769,-0.209922753438121,-0.405325447191941,-0.438388606636328,0.0377837506522165,0.0843298031261055,0.178613911025386,0.1121604736963,0.185138897829072,0.0846793337912467,0.10443760699449,0.0380696139750079,0.0532941032964172,-0.0690039964452787,-0.220717602932479,-0.288058430204779,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","UCSB"
"26","SBMNH_ENT0116669_L",0.502539036069894,0.372380080325632,-0.105129735187118,-0.214923569926426,-0.402448805216943,-0.426646369309782,0.0336359630223968,0.0767180034247323,0.163875396797616,0.114460461331795,0.199505971507558,0.0842474688388016,0.102494219841495,0.0346124139871203,0.0467868824368927,-0.073540034506726,-0.223795639271191,-0.284771744165747,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH"
"27","UCSB_IZC00010322_L",0.489175170775092,0.363503736519656,-0.0946102637418624,-0.216104072677525,-0.403597890401179,-0.439495263725496,0.0381564974462963,0.0827320577105118,0.180240028094509,0.117381375719227,0.181114097614403,0.0891255939756956,0.108051173815567,0.0348365061448047,0.0564279409082581,-0.0768911467366306,-0.223142226430612,-0.286903315010711,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","UCSB"
