id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
68367,UCSB,IZC,,PreservedSpecimen,a649ef56-c7b9-4f91-8595-04584d159d5f,UCSB-IZC00008208,,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon subtilior,68885,Cockerell 1898,Agapostemon,,subtilior,,,,,Species,Katja Seltmann,1/24/2025,"European Journal of Taxonomy 958: 203?241 ISSN 2118-9773, https://doi.org/10.5852/ejt.2024.958.2671",,,,,Martin Kellogg,,,7/12/2001,,,2001,7,12,193,,7/12/2001,0925-0945 PDT,on flowers,Hypochaeris radicata,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,Isla Vista,Northeast corner of Perfect Park,,0,,34.411598,-119.85567,WGS84,30,,entan (2019-09-16 11:12:13),,georef batch tool 2019-09-16; GeoLocate,reviewed - high confidence,,,,,,,,,,,2/7/2020 9:42,830697,6,97646deb-0fe6-40c5-95c5-0ecfa2080630,https://library.big-bee.net/portal/collections/individual/index.php?occid=68367
68376,UCSB,IZC,,PreservedSpecimen,e832306d-c058-4c7d-9662-210fbe93c59e,UCSB-IZC00000964,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus vosnesenskii,7022,"Radoszkowski, 1862",Bombus,,vosnesenskii,,,,,Species,Rachel Behm,2017,,,,,,A. Mora,,,6/2/2003,,,2003,6,2,153,,6/2/2003,On label: prep: K. Townsend,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Lake Los Carneros,,0,,34.441666,-119.848335,WGS84,464,,rbehm (2018-09-28 15:21:44),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832044,6,b2d638e5-5d51-4ea0-adca-09d3f7176255,https://library.big-bee.net/portal/collections/individual/index.php?occid=68376
68385,UCSB,IZC,,PreservedSpecimen,db51c564-bb6b-4e86-90d7-a220f4637192,UCSB-IZC00009007,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,Ashley Treahy,,,6/2/2015,,,2015,6,2,153,,6/2/2015,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Lizard's Mouth,,0,,34.501706,-119.866252,WGS84,226,,entan (2019-08-08 17:25:02),,georef batch tool 2019-08-08; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832058,6,013e39b3-d140-4f15-ad13-4d3fae81cc52,https://library.big-bee.net/portal/collections/individual/index.php?occid=68385
68414,UCSB,IZC,,PreservedSpecimen,07bd3ba0-2dc8-4bd8-bb60-2596668cc6c7,UCSB-IZC00009049,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,,,,5/8/1981,,,1981,5,8,128,,5/8/1981,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Rattlesnake Canyon,,0,,34.471588,-119.687669,WGS84,3036,,rbehm (2018-09-28 15:51:51),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832087,6,b0d5c16c-65a3-48dc-b310-5518f3ea5704,https://library.big-bee.net/portal/collections/individual/index.php?occid=68414
68416,UCSB,IZC,,PreservedSpecimen,f51686d2-0a0c-41a6-86b6-323c326c845e,UCSB-IZC00009052,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,Kevin Phan,,,6/21/2016,,,2016,6,21,173,,6/21/2016,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,Santa Barbara,"University of California, Santa Barbara West Lagoon",,0,,34.4059,-119.8444,,,,,,,,,,,,,,,,,phorsley,12/28/2020 12:48,832089,6,8bbba836-2912-4309-a670-88a98eea9918,https://library.big-bee.net/portal/collections/individual/index.php?occid=68416
68553,UCSB,IZC,,PreservedSpecimen,8d6f8cff-d0e4-4356-a4ea-9fdac779089b,UCSB-IZC00010322,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora edwardsii,5957,"Cresson, 1878",Anthophora,,edwardsii,,,,,Species,Jamie Pawelek,2017,,,,,,C.F. Soo Hoo,,,4/5/1956,,,1956,4,5,96,,4/5/1956,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Refugio Canyon,,0,,34.499476,-120.077838,WGS84,8159,,rbehm (2018-09-17 15:19:50),,georef batch tool 2018-09-17,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832366,6,41f75601-3d97-455e-8e31-a69c3e09c335,https://library.big-bee.net/portal/collections/individual/index.php?occid=68553
68586,UCSB,IZC,,PreservedSpecimen,1aeb3cb5-e5f4-4ab2-93c6-bd14e3b34d87,UCSB-IZC00010360,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,Vasili Vagenas,,,5/28/2016,,,2016,5,28,149,,5/28/2016,,,,,,,,,,,,,,,,,Adult,,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Jesusita Trail,,0,,34.463987,-119.724283,WGS84,658,,entan (2019-08-29 15:56:08),,georef batch tool 2019-08-29; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832399,6,64c9a9a0-0733-47fc-84a0-1606f2453851,https://library.big-bee.net/portal/collections/individual/index.php?occid=68586
68602,UCSB,IZC,,PreservedSpecimen,223be1a4-1789-42fd-9d55-02d8a29475b0,UCSB-IZC00010379,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora edwardsii,5957,"Cresson, 1878",Anthophora,,edwardsii,,,,,Species,Jamie Pawelek,2017,,,,,,Al Green,,,1953-00-00,,,1953,0,0,,,1953,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,,,Colorado Desert,,0,,33.827972,-115.744348,WGS84,164876,,zachary_brown (2019-09-19 16:36:39),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832415,6,a80d1ca0-7a12-406e-97e4-08c1f07cef06,https://library.big-bee.net/portal/collections/individual/index.php?occid=68602
68604,UCSB,IZC,,PreservedSpecimen,4d5716b1-c45e-4dee-9e25-61da2ebca738,UCSB-IZC00010381,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,UCSB Zoology 126: Pritchett,,,4/12/1985,,,1985,4,12,102,,4/12/1985,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Rattlesnake Canyon,,0,,34.471588,-119.687669,WGS84,3036,TRS: T4N R27W sec 3,rbehm (2018-09-28 15:51:51),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832417,6,94987910-c257-4a1a-91cb-a74a90712ad5,https://library.big-bee.net/portal/collections/individual/index.php?occid=68604
68611,UCSB,IZC,,PreservedSpecimen,bf91a744-b53d-420a-93d7-c63b73ddb7ed,UCSB-IZC00010413,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,,,,5/2/1978,,,1978,5,2,122,,5/2/1978,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Skofield,,0,,34.456941,-119.693746,WGS84,500,,entan (2019-10-03 14:14:47),,georef batch tool 2019-10-03; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832424,6,195f7891-77b5-4bb4-b57c-1250560acfdb,https://library.big-bee.net/portal/collections/individual/index.php?occid=68611
